Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
663,Shadow Conspiracy (1997) ,"https://m.media-amazon.com/images/M/MV5BNWUwNWVlMzktMTg2YS00MzJiLTgzZjctMDY3MmJmM2M1MTIxXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_UX182_CR0,0,182,268_AL_.jpg",4.9,R,1h 43min," Conspiración
      ",George P. Cosmatos,"Charlie Sheen,Donald Sutherland,Linda Hamilton",Adi Hasak," Action, Thriller","    Bobby Bishop (Sheen) is a special assistant to the President of the United States. Accidentally, he meets his friend professor Pochenko on the street. Pochenko has time to tell Bishop about some conspiracy in the White House but then immediately gets killed by an assassin. Now bad guys are after Bobby as the only man who knows about a plot. Bishop must now not only survive, but to stop the conspirators from achieving their goal. And he doesn't know whom to trust."
664,Turbulence (1997) ,"https://m.media-amazon.com/images/M/MV5BYzMxNGY4NWQtYjUxOC00ZWYwLWExZTYtNmEwODg5MzFmZmEyXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",4.9,R,1h 40min," Turbulencia
      ",Robert Butler,"Ray Liotta,Lauren Holly,Brendan Gleeson",," Action, Thriller","    Ryan Weaver romances beautiful women before he kills them. Ryan is arrested, convicted, and is part of a Christmas Eve transfer of prisoners on a transcontinental 747 commercial flight. Other airlines at JFK may have holiday passengers waiting on stand-by, but this jumbo jet takes off with a lot of empty seats. Ryan and another prisoner overpower and kill their guards. The few civilian passengers are herded into a ""pantry"" on the plane and are not seen again until the end of the movie. Ryan eliminates the other prisoners and all the crew members except Teri Halloran. The remainder of the movie follows a ""cat-and-mouse"" game between Ryan and Teri on the 747."
665,The Beautician and the Beast (1997) ,"https://m.media-amazon.com/images/M/MV5BOGViZjFhM2MtOGNmZC00MWQyLWJiM2MtODdkMDdlYmFmMjYzXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX182_CR0,0,182,268_AL_.jpg",5.4,PG,1h 45min," La niñera y el presidente
      ",Ken Kwapis,"Fran Drescher,Timothy Dalton,Ian McNeice",," Comedy, Romance","    A beautician in America is mistakenly thought to be an academic teacher by a representative of an Eastern European dictator. She is invited to their country on that mistaken belief and is asked to be the tutor of the dictator's children. While there, she tries to Westernize the whole country."
666,Anna Karenina (1997) ,"https://m.media-amazon.com/images/M/MV5BMTkxOTgyMzc2NV5BMl5BanBnXkFtZTcwODY4NzUxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,PG-13,1h 48min," 4 April 1997 (USA)
    ",Bernard Rose,"Sophie Marceau,Sean Bean,Alfred Molina",Leo Tolstoy," Drama, Romance","    Anna is a young and elegant wife of Mr. Karenin, who is wealthy and old. She meets the handsome Count Vronsky. Anna and Vronsky fall in love with each other, and he comes to be with her in St. Petersburg. They are very happy together and make a great looking couple, but soon their happiness gets under social pressures. Anna is hopelessly begging Mr. Karenin for a divorce, but he wants to keep the mother of their child. She has another baby born from her lover Vronsky. Conflict between her untamed desires and painful reality causes her a depression and suicidal thoughts."
667,Keys to Tulsa (1997) ,"https://m.media-amazon.com/images/M/MV5BNmFkZmIwM2QtYzZkNi00ODJlLWI5MWItMTIzMGNhZmU5ZWJkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UY268_CR2,0,182,268_AL_.jpg",5.1,R,1h 53min," Zsarolók városa
      ",Leslie Greif,"Eric Stoltz,James Spader,Deborah Kara Unger",Brian Fair Berkey," Crime, Drama, Thriller","    Richter Boudreau, the son of local celebrity Cynthia, is not very successful and works as a film critic for a local newspaper. In a short time he loses his job and his heritage, and one of his ""friends"" starts to blackmail him. His only hope is that others around him are even bigger dummies."
668,Head Above Water (1996) ,"https://m.media-amazon.com/images/M/MV5BNmYwYmFlNGMtZjU2MC00MGVhLWI3OGEtYTQ2YzExZjg1NjFiXkEyXkFqcGdeQXVyMTk2ODQ2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6,PG-13,1h 32min," Acque profonde
      ",Jim Wilson,"Harvey Keitel,Cameron Diaz,Craig Sheffer","Eirik Ildahl,Geir Eriksen"," Comedy, Thriller","    In this dark comedy, a supreme court judge (George) and his very young wife (Nathalie) are on vacation at her family's summer home on an island. When the caretaker, her childhood pal, Lance, takes George on a fishing trip an old flame (Kent) shows up to surprise Nathalie while she's alone. After a night of drinking Nathalie awakes to find Kent, naked and dead in her bed, just as her husband and Lance are arriving. Panicked, Nathalie hides the body but as everyone finds out it just leads to more trouble as they try to dispose of the body and eventually discover what really happened to her ex."
669,The Last Time I Committed Suicide (1997) ,"https://m.media-amazon.com/images/M/MV5BNjRmOTUwM2QtMDE4NS00ZTdkLTgxZTQtOWQxNmE1M2U1Y2E0XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_UY268_CR9,0,182,268_AL_.jpg",5.7,R,1h 32min," Elämän harhapolut
      ",Stephen Kay,"Thomas Jane,Keanu Reeves,Adrien Brody",Neal Cassady," Biography, Romance","    Neal Cassady is living the beat life during the 1940s, working at The Tire Yard and and philandering around town. However, he has visions of a happy life with kids and a white picket fence. When his girlfriend, Joan, tries to kill herself he gets scared and runs away. But when Joan reappears will he take the chance at that happiness, or will he turn his back on it?"
670,"Kiss Me, Guido (1997) ","https://m.media-amazon.com/images/M/MV5BMzMyNTE4Mjk4MF5BMl5BanBnXkFtZTcwNTMwMjEyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6,R,1h 26min," Baciami Guido
      ",Tony Vitale,"Nick Scotti,Anthony Barrile,Anthony DeSando",, Comedy,"    Warren has an extra room in his apartment (and is five months behind on the rent) after his lover moves out, so a friend places an ad on his behalf for a GWM roommate. Frankie, a pizza baker (and aspiring actor), decides to move out of his family's flat in The Bronx when he comes home one evening and walks in on his brother making love to Frankie's girlfriend. Frankie checks ads for roommates in ""the city"" (i.e., Manhattan), notices Warren's ad and decides to answer it, reasoning that GWM stands for ""Guy With Money."""
671,The Big Green (1995) ,"https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6,PG,1h 40min," 29 September 1995 (USA)
    ",Holly Goldberg Sloan,"Steve Guttenberg,Olivia d'Abo,Jay O. Sanders",," Comedy, Family, Sport","    Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of dramatic family crises, through the able assistance of a foreign exchange teacher and a former local sports hero as coaches."
672,Stuart Saves His Family (1995) ,"https://m.media-amazon.com/images/M/MV5BZWZiZWQ4NmMtYmVhYi00MDRhLWFjMmUtODA0NWFkMjdmNWQ5XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.2,PG-13,1h 35min," Stuart sauve sa famille
      ",Harold Ramis,"Al Franken,Laura San Giacomo,Vincent D'Onofrio",Al Franken," Comedy, Drama","    Stuart Smalley, the Saturday Night Live character, comes to the big screen. Stuart, the disciple of the 12 step program, is challenged by lifes injustices. He loses his Public Access Cable Television Show, must beg his manipulative overbearing boss for his job back, rehabilitate his alcoholic father and drug abuser brother, and support his over-weight mother and sister in their lack of ability in handling their relationships with their husbands. Stuart is supported by his 12 step sponsors as a he regresses back to his negative behaviors each time he faces these challenges."
673,Cabin Boy (1994) ,"https://m.media-amazon.com/images/M/MV5BZWI5ZmY5MDMtOWJkYy00YjJlLWI1MDctMjMwZDI3NTY4YmJlXkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_UX182_CR0,0,182,268_AL_.jpg",5.4,PG-13,1h 20min," A hajó hülyéje
      ",Adam Resnick,"Chris Elliott,Ritch Brinkley,James Gammon","Chris Elliott,Adam Resnick"," Adventure, Comedy, Romance","    Snobby school boy goes left and mistakes the ""Filthy Whore"" for his millionaire dad's yacht. He joins four filthy fishermen for hijinx on the high seas."
674,Clean Slate (1994) ,"https://m.media-amazon.com/images/M/MV5BNmFkYTUzMzctZjczNy00M2VhLWJhOGMtZjllNjQzM2NiZGQ4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",5.7,PG-13,1h 47min," Trou de mémoire
      ",Mick Jackson,"Dana Carvey,Valeria Golino,James Earl Jones",," Comedy, Mystery","    Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient."
675,Lightning Jack (1994) ,"https://m.media-amazon.com/images/M/MV5BODFhZGQyOTUtNGNlNS00NjJkLTk1OWQtODZkYmMzOGI2ZWIwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.5,PG-13,1h 38min," Jack Blyskawica
      ",Simon Wincer,"Paul Hogan,Cuba Gooding Jr.,Beverly D'Angelo",," Comedy, Western","    Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last heist."
676,The Stupids (1996) ,"https://m.media-amazon.com/images/M/MV5BNThjNWEwNGEtN2I5My00MTlmLWI2NjQtYTkxMTUwYTI3MDUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg",4.2,PG,1h 34min," Eine Familie zum Kotzen
      ",John Landis,"Tom Arnold,Jessica Lundy,Bug Hall","James Marshall,Harry Allard"," Adventure, Comedy","    When the Stupids, an average suburban American family, discover that their garbage was ""stolen"" out of the can, they begin the investigation of that ""conspiracy""."
677,Geronimo: An American Legend (1993) ,"https://m.media-amazon.com/images/M/MV5BNDRhZTYyYTEtMjA4My00MmI1LThkNTMtMjBkYmQ3ZDgwM2I1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5,PG-13,1h 55min," Geronimo
      ",Walter Hill,"Jason Patric,Gene Hackman,Robert Duvall","John Milius,John Milius"," Drama, History, Western","    The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs."
678,La double vie de Véronique (1991) ,"https://m.media-amazon.com/images/M/MV5BYmE0ZGRiMDgtOTU0ZS00YWUwLTk5YWQtMzhiZGVhNzViMGZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",7.8,R,1h 38min," La doble vida de Verónica
      ",Krzysztof Kieslowski,"Irène Jacob,Wladyslaw Kowalski,Halina Gryglaszewska",Krzysztof Kieslowski," Drama, Fantasy, Music, Mystery, Romance","    Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
679,Bis ans Ende der Welt (1991) ,"https://m.media-amazon.com/images/M/MV5BYjVjZmZmYmUtZTMxMi00OGQxLWFkODQtMTBlNGRhNmFkMGEyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,R,2h 38min," Hasta el fin del mundo
      ",Wim Wenders,"William Hurt,Solveig Dommartin,Pietro Falcone","Peter Carey,Wim Wenders"," Action, Drama, Sci-Fi, Thriller","    Set in 1999, a woman (Dommartin) has a car accident with some bank robbers, who enlist her help to take the bank money to a drop in Paris. On the way she runs into another fugitive from the law (Hurt), an American who is being chased by the CIA. The charges are false, he claims. They want to confiscate a device his father invented which allows anyone to record their dreams and vision. On the run from both the bank robbers and the CIA, the couple span the globe, ending up in Australia at his father's (von Sydow) research facility, where they hope to play back the recordings Hurt captured for his blind mother. Set in the futuristic year of 1999, a subplot about a damaged Indian nuclear satellite crashing and causing the end of civilization is a puzzling addition to the film."
680,Waiting for Guffman (1996) ,"https://m.media-amazon.com/images/M/MV5BYWY4OGVjOTctYTViZC00MWQzLWIyNjYtM2JmOWIzZGQwNWYyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.5,R,1h 24min," 31 January 1997 (USA)
    ",Christopher Guest,"Christopher Guest,Fred Willard,Catherine O'Hara",Christopher Guest, Comedy,"    A town of Blaine, Missouri is preparing for celebrations of its 150th anniversary. Corky St.Clair, an off-off-off-off-off-Broadway director is putting together an amateur theater show about the town's history, starring a local dentist, a couple of travel agents, a Dairy Queen waitress, and a car repairman. He invites a Broadway theater critic Mr. Guffman to see the opening night of the show."
681,I Shot Andy Warhol (1996) ,"https://m.media-amazon.com/images/M/MV5BNWJkZTI3ZGUtOWQ3Ni00Y2Y5LTgxYWEtODQ4Yjg4M2ZmMWQ3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 43min," Ela Baleou Andy Warhol
      ",Mary Harron,"Lili Taylor,Jared Harris,Martha Plimpton","Jeremiah Newton,Diane Tucker"," Biography, Drama","    Based on the true story of Valerie Solanas who was a 60s radical preaching hatred toward men in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce, but he continued to ignore her. So she shot him. This is Valerie's story."
682,Stealing Beauty (1996) ,"https://m.media-amazon.com/images/M/MV5BZDgwMWU1ZTctYzkxMi00NDVmLThkZWYtYWEyYmQ0N2NmZWY5XkEyXkFqcGdeQXVyMTE2OTg4Mjg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 58min," Beleza Roubada
      ",Bernardo Bertolucci,"Jeremy Irons,Liv Tyler,Carlo Cecchi",Bernardo Bertolucci," Drama, Mystery, Romance","    Lucy, an American teenager arriving in the lush Tuscan countryside to visit her mother's friends, Diana and her husband, Irish artist Ian residing there. She visited there four years earlier and exchanged a kiss with a handsome boy, Niccoló with whom she hopes to become reacquainted. Her mother, poet Sara has committed suicide since then, and she also hopes to discover the identity of her father, whom her mother hinted was a resident of the villa. Once she arrives, she meets a variety of eccentric visitors, including a dying gay playwright Alex, M. Guillaume, an old deranged New York art gallery owner, Diana's daughter from a previous marriage, jewelry designer Miranda, her boyfriend, an entertainment lawyer Richard, Noemi, a column writer and several others. Lucy has decided to lose her virginity and becomes an object of intense interest to the men of the household, but the suitor she finally selects is not the initial object of her affection. Stealing Beauty boasted an intriguing ..."
683,Basquiat (1996) ,"https://m.media-amazon.com/images/M/MV5BMTk3NTk3MzU5N15BMl5BanBnXkFtZTgwNjIwMDcyMTI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,R,1h 47min," 9 August 1996 (USA)
    ",Julian Schnabel,"Jeffrey Wright,Michael Wincott,Benicio Del Toro","Lech Majewski,John Bowe"," Biography, Drama","    Basquiat tells the story of the meteoric rise of youthful artist Jean Michel Basquiat. Starting out as a street artist, living in Thompkins Square Park in a cardboard box, Basquiat becomes a star and a part of Andy Warhol's art world circle. But success has a price, and Basquiat pays with friendships, love, and eventually, his life."
